,COORDS
0,4656.46
1,4656.61
2,4656.79
3,4656.88
4,4656.98
5,4657.09
6,4657.33
7,4657.45
8,4657.65
9,4657.72
10,4657.73
11,4657.82
12,4657.84
13,4657.86
14,4657.91
15,4657.98
16,4658.12
17,4658.11
18,4658.86
19,4658.87
20,4658.93
21,4659.02
22,4659.11
23,4659.23
24,4659.35
25,4659.47
26,4659.61
27,4659.71
28,4659.83
29,4659.94
30,4660.02
31,4660.18
32,4660.3
33,4660.38
34,4660.47
35,4660.52
36,4656.24
37,4656.25
38,4656.26
39,4656.28
40,4656.31
41,4656.34
42,4656.65
43,4656.83
44,4656.95
45,4656.99
46,4657.26
47,4657.37
48,4657.5
49,4657.67
50,4657.81
51,4657.85
52,4657.87
53,4657.92
54,4657.96
55,4658.08
56,4658.19
57,4658.27
58,4658.36
59,4658.39
60,4658.42
61,4658.44
62,4658.45
63,4656.14
64,4655.96
65,4658.4
66,4658.41
67,4658.33
68,4658.25
69,4658.23
70,4658.02
71,4657.77
72,4657.76
73,4657.74
74,4657.63
75,4657.64
76,4657.57
77,4657.49
78,4657.36
79,4657.22
80,4657.06
81,4656.97
82,4656.9
83,4656.73
84,4656.54
85,4656.38
86,4656.32
87,4656.78
88,4656.68
89,4656.64
90,4656.49
91,4656.37
92,4656.19
93,4656.8
94,4656.85
95,4656.87
96,4656.89
97,4656.72
98,4656.71
99,4656.57
100,4656.58
101,4656.6
102,4656.63
103,4656.62
104,4656.51
105,4656.35
106,4656.41
107,4656.42
108,4656.43
109,4661.21
110,4661.17
111,4661.05
112,4661.06
113,4661.01
114,4661.1
115,4661.12
116,4661.42
117,4661.4
118,4661.23
119,4660.96
120,4660.86
121,4660.93
122,4661.11
123,4661.27
124,4661.36
125,4661.55
126,4661.59
127,4661.6
128,4661.7
129,4661.73
130,4656.22
131,4656.16
132,4655.95
133,4655.83
134,4656.02
135,4656.05
136,4656.01
137,4656.03
138,4656.21
139,4656.36
140,4657.12
141,4657.3
142,4657.32
143,4657.48
144,4657.66
145,4657.8
146,4656.15
147,4656.18
148,4656.33
149,4656.52
150,4656.67
151,4656.75
152,4657.01
153,4657.03
154,4656.84
155,4656.76
156,4656.74
157,4656.53
158,4656.5
159,4656.96
160,4656.92
161,4657.02
162,4657.05
163,4657.07
164,4657.11
165,4657.25
166,4657.68
167,4657.9
168,4658.03
169,4658.06
170,4658.22
171,4658.37
172,4658.53
173,4658.56
174,4658.64
175,4658.76
176,4656.44
177,4656.69
178,4656.48
179,4657.14
180,4657.6
181,4657.71
182,4658.14
183,4658.31
184,4658.29
185,4656.08
186,4655.9
187,4655.74
188,4655.57
189,4655.53
190,4655.51
191,4655.52
192,4655.46
193,4655.42
194,4655.41
195,4657.2
196,4657.18
197,4657.27
198,4657.47
199,4657.99
200,4657.94
201,4657.83
202,4657.69
203,4658.01
204,4658.34
205,4658.24
